User_id,Total_Relevant_Books,Overlap_Rec_CB_Only,Overlap_Rec_CF_Only,Overlap_Rec_CB_Filtered_by_CF,Overlap_Rec_By_Multiplying_Scores,Overlap_Rec_Random
2701111,9,1,0,0,1,0
2704703,5,0,0,0,0,0
2715247,93,2,1,3,3,0
2736715,118,0,1,0,1,0
2763722,52,0,1,0,1,0
2788711,101,2,1,1,2,0
2807469,115,1,0,1,4,0
2808380,95,0,2,1,3,0
2809598,72,2,1,0,1,0
2838930,142,4,0,3,4,0
2847987,21,2,0,1,0,0
2877392,219,6,3,6,10,0
2905339,143,7,1,10,5,0
2905400,200,2,4,2,3,0
2917516,69,0,0,0,1,0
2926860,115,1,1,0,3,1
2932255,125,2,2,4,4,0
2935134,159,7,0,7,5,0
2984237,196,4,0,2,3,0
2991292,41,2,1,2,0,0
3025547,200,1,3,0,1,0
3037353,124,1,0,1,2,0
3048260,89,3,0,3,3,0
3078602,22,1,1,1,1,0
3079532,233,10,3,11,10,1
3082444,181,3,4,5,3,0
3085379,111,2,0,1,1,0
3114983,57,2,1,1,1,1
3116992,60,0,1,1,0,0
3119697,59,0,0,0,1,0
3121849,160,1,2,2,4,0
3122948,101,3,0,0,0,0
3141291,178,0,3,1,3,0
3144945,303,9,2,13,12,0
3151157,166,0,1,2,1,0
3170203,213,1,2,5,3,0
3176813,183,13,0,7,3,0
3191832,177,4,1,2,1,0
3200682,137,6,0,5,4,0
3204478,52,1,0,0,1,0
3207885,49,4,3,3,5,0
3233774,24,0,0,0,0,0
3255548,208,1,1,1,3,1
3268309,39,0,0,0,0,0
3268839,166,9,0,7,7,0
3270188,195,0,2,1,5,0
3272229,12,0,0,1,1,0
3284000,66,0,2,1,1,0
3316351,35,2,0,0,1,0
3322071,86,3,0,1,1,0
3332895,295,8,5,11,12,0
3357765,98,2,0,2,1,0
3387478,103,11,0,9,8,0
3407041,68,7,3,5,5,0
3414889,145,2,0,0,1,0
3448963,319,16,7,10,10,0
3474899,112,1,0,2,1,0
3496493,27,0,2,1,1,0
3501058,200,11,6,8,11,1
3534528,173,5,1,5,5,0
3536114,90,1,2,3,3,0
3547543,151,7,0,5,3,0
3553381,85,8,1,3,4,0
3574288,76,1,1,1,1,0
3614645,114,2,2,2,2,0
3633137,219,1,4,3,6,0
3663280,8,0,0,0,0,0
3666031,134,1,0,3,1,0
3675162,282,6,4,6,8,1
3681846,162,10,0,9,12,0
3702951,57,6,0,8,5,0
3756117,218,11,3,7,5,0
3764614,219,2,2,1,1,2
3787806,7,2,0,0,2,0
3789528,175,2,0,2,1,0
3798962,73,6,2,3,3,0
3800614,25,2,0,2,1,0
3808308,107,5,0,10,6,0
3824440,10,0,0,0,0,0
3830243,69,4,0,0,0,0
3842814,209,7,2,7,8,0
3855700,63,5,0,1,3,0
3858781,31,7,0,2,2,0
3874217,136,2,0,1,2,0
3921215,147,2,2,2,3,1
3947240,223,4,2,3,5,1
3954627,259,9,0,7,4,2
3957464,162,7,2,11,10,0
3964483,169,9,2,11,7,0
3965659,224,3,9,5,6,0
3966705,158,3,1,1,2,0
3969230,123,3,7,2,4,1
3995627,83,4,0,8,3,0
4009947,174,3,1,6,6,0
4018653,161,2,2,1,0,0
4019095,138,1,1,1,1,0
4057501,127,2,1,5,7,1
4058407,236,4,3,4,6,1
4098997,103,2,0,2,3,0
4100955,196,3,0,1,0,0
4103395,179,4,5,6,4,1
4105820,179,6,1,6,9,0
4106028,64,0,1,3,1,0
4126567,89,3,1,0,2,0
4130715,22,0,0,1,1,0
4130782,12,0,0,0,0,0
4134615,161,6,6,5,10,0
4135942,119,3,1,1,1,0
4136192,262,9,4,11,14,0
4149264,150,2,1,2,2,0
4164688,86,3,0,1,2,0
4165397,123,4,3,2,1,0
4176755,34,1,0,2,1,0
4185626,108,1,0,4,1,0
4196681,185,6,0,5,6,0
4234270,14,0,0,0,0,0
4234309,2,1,0,0,0,0
4234311,23,1,1,2,1,0
4234316,81,0,3,0,2,1
4234350,5,0,0,0,0,0
4245944,108,2,1,0,2,0
4250714,168,3,2,1,4,1
4254956,291,17,0,10,6,0
4255477,141,5,0,7,9,0
4259436,208,4,3,3,4,2
4263900,159,7,1,7,4,1
4299569,180,4,2,4,7,0
4310944,103,1,0,3,2,0
4332652,209,18,0,13,13,0
4337421,117,0,1,1,2,0
4371220,197,0,3,1,4,0
4386854,68,4,0,2,3,0
4386858,2,0,0,0,0,0
4386861,56,5,1,2,0,0
4386895,3,0,0,0,0,0
4386900,10,4,0,3,3,0
4386901,12,4,0,0,1,0
4433276,268,14,4,10,14,0
4437917,63,2,2,1,2,0
4438284,142,2,3,3,9,0
4454068,30,6,1,0,2,0
4461061,166,2,3,4,6,0
4508160,133,8,0,6,1,2
4538949,46,2,0,2,2,1
4561998,199,14,0,10,11,1
4568057,217,17,3,9,10,0
4571721,26,1,0,1,1,0
4578429,100,4,1,7,4,0
4604071,60,0,0,1,1,0
4612233,14,1,0,1,0,0
4618685,187,5,3,8,8,0
4619356,68,4,1,4,3,0
4631527,8,0,1,0,1,0
4632675,148,0,3,2,2,0
4653503,194,8,4,5,3,1
4681357,81,3,0,2,0,0
4688194,44,2,0,2,1,0
4696922,85,4,0,2,0,0
4721686,84,6,0,5,5,0
4729956,91,2,2,2,4,0
4737754,72,2,0,0,1,0
4738618,40,1,0,0,0,0
4743119,126,6,0,7,5,0
4765186,20,1,0,1,0,0
4771186,33,2,1,1,2,0
4774711,56,1,2,1,2,0
4778983,64,7,0,1,2,0
4793025,163,7,2,8,9,0
4793226,6,1,1,1,1,0
4793256,8,3,0,1,1,0
4793277,44,2,2,1,2,0
4793288,61,4,2,5,6,0
4793297,3,0,0,0,0,0
4793300,24,1,1,0,0,0
4793303,5,0,0,0,0,0
4793314,43,2,1,1,2,0
4797649,162,6,3,4,6,0
4816194,274,5,0,3,4,2
4828849,153,1,0,3,2,0
4833060,6,0,0,0,0,0
4836261,42,2,1,0,0,0
4844580,75,4,1,2,2,1
4850890,155,1,0,0,1,0
4852457,294,4,6,4,6,1
4858143,10,1,0,1,2,0
4883876,93,3,2,1,1,0
4923572,101,1,1,0,2,0
4968595,139,12,1,6,4,0
4995826,74,0,1,1,1,0
5028737,80,1,2,0,4,0
5069984,94,6,0,5,5,0
5099122,131,7,3,4,3,0
5116500,123,5,1,9,6,0
5120324,249,6,2,11,11,0
5122719,126,3,1,1,1,0
5165684,137,11,4,10,8,0
5194381,102,3,2,5,5,0
5215684,199,3,5,1,5,0
5228665,78,3,1,7,5,0
5279356,149,0,1,1,1,0
5308370,110,1,0,2,2,0
5408443,62,2,1,4,3,0
5460996,20,0,0,0,0,0
5531623,121,8,2,4,6,0
5538553,93,8,1,5,4,0
5539909,31,3,0,1,1,0
5691601,65,6,1,7,3,0
5714461,146,11,4,12,10,1
5749814,31,1,1,3,4,0
5749843,8,2,2,2,2,0
5749866,4,0,0,0,0,0
5749878,34,1,0,1,2,0
5749880,46,7,0,1,1,0
5749886,11,1,0,1,1,0
5749887,55,5,1,2,2,0
5749896,8,1,1,0,1,0
5786300,222,3,2,4,2,0
5862265,218,9,4,7,9,1
5862849,17,1,0,1,1,0
5877123,80,2,1,3,3,0
5880168,182,8,3,7,10,0
5921395,125,2,4,7,6,1
5938831,175,9,2,6,5,0
5972107,72,2,1,1,1,0
5992644,107,2,3,3,3,0
6021548,11,0,0,0,0,0
6040303,37,1,1,1,2,0
6040311,28,2,0,1,1,0
6040315,88,2,2,3,3,0
6040317,7,1,0,1,1,0
6040341,35,0,1,0,0,0
6040353,49,1,0,1,0,0
6040378,6,0,1,0,0,0
6154155,199,1,1,1,1,0
6160008,154,11,3,9,6,0
6167088,85,1,2,1,0,0
6206265,254,2,5,4,7,1
6251943,174,4,4,8,11,1
6281629,139,9,0,5,4,0
6334677,36,1,0,1,2,0
6351259,196,7,4,7,7,2
6482072,153,7,3,5,3,0
6572104,52,2,0,5,3,0
6572129,60,1,0,1,2,0
6572151,8,1,0,1,1,0
6572174,4,0,0,0,0,0
6572176,13,2,0,2,3,0
6922558,41,5,1,4,4,0
6927482,230,9,2,9,9,1
7090483,174,3,3,6,3,0
7165561,33,2,0,1,2,0
7321058,65,0,1,1,1,0
7375689,14,3,0,2,2,0
7375690,8,0,0,0,0,0
7375692,8,1,1,1,1,0
7375696,148,0,1,0,2,0
7375705,348,16,5,14,12,0
7375719,18,0,0,0,1,0
7375733,150,11,3,12,8,0
7375752,44,1,0,0,0,0
7375773,15,1,0,1,0,0
7510544,32,1,0,0,0,0
7689135,209,4,2,4,8,1
7695848,232,7,3,3,6,0
7770316,11,1,0,0,0,0
7770326,14,0,0,0,0,0
7770341,12,1,0,1,1,0
7770354,8,0,0,1,1,0
7770355,9,0,0,0,0,0
7770357,71,1,0,1,0,0
7770365,6,1,0,0,0,0
7770366,11,0,0,0,0,0
7770379,36,1,2,4,1,0
7778473,172,2,0,4,5,0
7778922,206,4,1,5,4,1
8005026,46,0,0,0,0,0
8022062,152,2,1,6,1,0
8098847,218,10,7,17,17,0
8209596,90,3,1,1,1,0
8298053,212,6,2,5,6,2
8299639,42,4,1,3,2,0
8351968,84,3,3,1,4,0
8356980,234,1,2,1,5,0
8389917,57,1,0,3,2,0
8400417,148,2,1,1,1,1
8404200,39,2,0,0,0,0
8686495,39,2,0,1,2,0
8686500,79,6,1,6,5,0
8700662,78,1,1,2,2,0
8706020,101,4,0,1,2,0
8826745,98,3,0,2,3,0
9016820,54,2,1,1,2,0
9135598,113,2,0,1,2,0
9301516,23,0,0,0,0,0
9302084,31,1,1,1,0,0
9302270,136,1,5,4,3,0
9681387,152,4,4,5,8,0
9684056,194,7,1,4,5,0
9703528,74,2,0,1,2,0
9939010,7,0,0,0,0,0
9939046,20,0,0,0,0,0
9939057,25,3,0,0,0,0
10000471,200,4,1,9,9,0
10036711,87,0,1,1,0,0
10066871,219,6,2,7,8,0
10067920,220,6,6,7,13,0
10160675,80,4,3,4,5,0
10178397,43,1,0,3,2,0
10193172,87,8,0,5,3,0
10203852,152,8,3,5,7,0
10203853,6,0,0,0,0,0
10203862,25,2,0,0,0,0
10203868,17,0,0,4,2,0
10203880,40,2,1,1,1,0
10203884,14,1,0,2,3,0
10203906,2,0,0,0,0,0
10203915,18,4,0,2,4,0
10203920,13,0,0,1,1,0
10211041,129,3,2,3,5,0
10229489,60,2,0,3,2,0
10261731,146,3,0,3,4,0
10282461,135,7,0,8,7,0
10332864,126,13,2,8,10,0
10337759,69,0,0,0,0,0
10373376,153,7,2,5,6,0
10422356,156,1,0,2,2,0
10463035,136,3,1,2,1,0
10534312,38,2,1,1,1,0
10537527,30,0,0,0,0,0
10611360,6,0,0,0,0,0
10611394,25,3,2,4,7,0
10611397,22,7,0,4,4,0
10611412,17,2,1,1,2,0
10611419,14,1,0,0,0,0
10611444,12,5,0,5,5,0
10709695,101,1,1,1,2,0
10771238,104,2,1,1,3,0
10798811,188,3,0,5,8,0
10929538,209,8,1,9,6,0
10978428,194,3,0,3,2,0
11012028,73,1,3,1,3,0
11042452,248,4,3,4,4,0
11080081,78,7,2,8,9,0
11101548,38,3,0,0,0,0
11114316,314,2,7,6,10,0
11296522,163,5,5,5,4,0
11375563,101,1,0,1,0,1
11382577,34,1,0,0,0,1
11603785,20,1,1,2,1,0
11627764,179,4,4,5,4,1
11648770,123,5,2,5,6,0
11658047,167,1,2,5,2,2
11790658,30,4,0,1,2,0
11790696,71,0,1,0,2,1
11790704,15,3,0,0,1,0
11790706,11,4,0,0,0,0
11790725,29,1,0,0,1,0
11869072,86,3,0,1,2,0
12000072,36,2,0,1,1,0
12063830,41,4,0,1,1,0
12280997,80,1,0,4,4,0
12323248,170,5,1,8,4,0
12497452,202,3,5,6,6,0
12554712,138,0,1,0,1,0
12582356,63,1,0,1,0,0
12658195,117,2,1,3,3,0
12724216,113,2,1,1,1,1
12842423,232,1,4,4,10,1
12851291,253,12,4,10,8,0
12860715,244,2,3,2,6,1
12991870,31,0,0,0,1,0
13086055,191,1,3,0,2,1
13177485,95,4,2,5,4,0
13180167,212,3,4,4,7,0
13209822,94,4,0,3,4,0
13277776,95,4,0,2,1,0
13444299,192,4,0,1,4,1
13521058,173,13,2,13,15,0
13536651,8,1,0,0,1,0
13536652,8,2,1,2,4,0
13536713,1,1,0,0,1,0
13536728,18,0,0,0,1,0
13546014,103,4,1,3,1,0
13594589,125,6,0,5,5,0
13600756,42,3,0,2,2,0
13600759,15,1,0,2,2,0
13600775,118,3,0,1,0,0
13600795,18,0,0,0,0,0
13600801,24,0,0,0,0,0
13600802,10,0,0,0,0,0
13664301,122,4,1,3,4,0
13784133,118,8,1,6,7,0
13883854,11,0,0,0,0,0
13883887,34,2,0,0,0,0
13883923,183,2,4,3,3,0
13914564,5,1,0,0,1,0
13914606,10,1,0,0,0,0
14057379,142,2,0,4,4,0
14247078,171,9,3,7,7,0
14321329,226,9,5,13,12,0
14457130,252,3,3,3,5,0
14469113,172,2,1,3,3,0
14918997,65,1,0,2,0,0
14932775,11,2,0,1,1,0
14958798,72,0,2,1,1,0
14963825,34,2,1,1,2,0
14963851,279,0,0,2,1,0
14963852,10,0,0,0,0,0
14963892,14,0,0,0,0,0
15026676,72,3,0,1,1,0
15139865,85,0,0,0,0,0
15166873,223,1,1,1,1,0
15385951,8,2,0,1,2,0
15400006,156,7,2,7,8,2
15458637,3,0,0,0,0,0
15493045,205,10,2,6,6,0
15546696,162,9,1,5,5,0
15605093,97,3,1,3,3,0
15786958,11,0,0,0,0,0
15786973,11,0,0,0,0,0
15800066,59,7,2,7,7,0
15826661,67,1,2,2,3,0
15856989,63,1,2,0,1,0
15864883,35,4,1,1,2,0
15896754,191,5,0,9,10,0
15945083,177,0,4,0,0,0
15984059,66,4,1,2,4,0
16019937,51,4,1,5,3,1
16061540,62,0,3,3,2,0
16087568,215,5,1,4,8,1
16089080,86,2,0,3,3,0
16095582,70,9,0,4,3,0
16169745,156,0,2,1,1,0
16308761,97,0,2,0,1,0
16400886,189,7,5,9,12,0
16407549,96,3,1,1,1,0
16579946,117,0,0,1,2,0
16634180,159,6,1,4,6,0
16638423,45,4,1,2,0,0
16662267,217,9,1,6,8,0
16768971,26,2,0,3,3,0
16829585,68,1,1,0,1,0
16842102,44,0,0,0,0,0
16852913,75,6,0,3,1,0
17010697,71,4,1,2,4,0
17182207,149,1,2,2,3,0
17304843,95,5,5,6,5,0
17331573,211,5,1,2,2,0
17352706,60,3,1,4,6,0
17352722,15,0,0,0,0,0
17352740,21,0,0,0,1,0
17352741,34,1,0,2,1,0
17352775,13,2,0,1,1,0
17352779,67,5,0,6,5,0
17352780,9,1,0,0,0,0
17428284,199,8,0,11,10,0
17469137,49,3,0,5,5,0
17479592,115,0,1,1,1,0
17687674,69,1,0,1,0,0
17751363,30,0,0,1,2,0
17751400,8,0,0,0,0,0
17814815,134,1,0,3,1,1
17905586,209,14,5,7,6,0
18017083,59,0,3,1,6,0
18260254,12,1,1,0,2,0
18260269,9,0,0,0,0,0
18260290,41,0,0,2,2,0
18260308,5,0,0,0,0,0
18326158,6,0,0,0,0,0
18326161,3,0,0,0,0,0
18326177,87,4,0,2,2,0
18326200,65,2,4,1,2,0
18326245,8,0,0,1,0,0
18370648,179,7,0,3,2,0
18485489,60,2,0,2,2,1
18485526,11,4,0,1,1,0
18485528,14,1,0,1,0,1
18485543,10,1,0,2,2,0
18485562,12,1,0,0,0,0
18604676,177,4,1,6,7,0
18849847,14,0,0,0,0,0
18864730,146,0,0,2,1,0
18895304,88,2,1,2,3,0
18922532,97,3,2,2,2,2
18968648,127,4,0,5,2,0
19133785,226,1,2,3,3,1
19181105,8,2,1,0,0,0
19208239,78,1,2,2,3,0
19365256,165,4,3,6,9,1
19387048,101,6,0,2,1,0
19421489,79,0,2,1,1,0
19468761,150,1,2,0,2,1
19534057,32,6,0,3,4,1
19534065,14,0,0,0,0,0
19534094,21,1,0,0,1,0
19534120,108,2,1,3,4,0
19534143,6,0,0,1,1,0
19553942,16,2,1,2,1,0
19553971,26,1,2,0,1,0
19553988,10,2,0,1,0,0
19554000,14,0,1,0,1,0
19554018,16,1,0,2,1,0
19554035,13,0,0,0,1,0
19677308,256,8,6,7,8,0
19678043,126,6,4,4,4,0
19685823,209,0,2,2,1,0
19794922,10,4,0,2,2,0
19794971,11,1,0,0,0,0
19795014,98,4,3,3,5,0
19972083,100,1,1,0,0,0
19976643,6,0,0,0,0,0
19976645,48,7,0,4,3,0
19976649,52,4,0,3,2,0
19976663,13,3,0,2,2,0
19976679,19,3,0,1,1,0
19976686,9,0,0,0,0,0
19976720,14,0,0,0,0,0
19976721,146,7,2,11,11,0
20038488,15,0,0,0,0,0
20231530,141,12,1,2,1,0
20382228,128,3,1,1,5,0
20446197,136,2,0,2,1,0
20458829,71,4,1,2,1,0
20583675,79,2,0,3,2,0
20608600,143,4,0,4,3,0
20997898,80,6,1,6,4,0
20998236,135,6,3,7,10,0
21312715,121,1,1,1,1,0
21348532,82,6,0,4,4,0
21399106,115,11,2,9,13,0
21560469,24,1,0,0,0,0
21588457,46,3,1,4,3,0
21860478,6,1,0,0,0,0
21860490,12,0,0,1,1,1
21860505,8,0,0,0,0,0
21860514,9,4,0,2,4,0
21916573,81,5,6,7,9,1
21987508,87,2,2,2,2,0
22074890,111,0,0,0,0,0
22108736,30,0,1,1,1,0
22226034,155,2,3,1,4,0
22397377,91,1,3,5,4,0
22427047,273,7,2,9,8,0
22451092,142,0,1,2,1,0
22469510,112,9,2,7,3,0
22591633,190,4,2,6,7,0
22601722,115,4,0,3,2,0
22687923,24,0,0,0,0,0
22699228,258,10,3,9,9,1
22804362,99,0,0,0,0,0
22817184,231,2,4,3,3,0
23024303,54,3,0,3,1,0
23098091,10,0,0,0,0,0
23188545,146,1,0,2,3,0
23203242,188,4,3,5,12,0
23302801,267,10,4,8,8,0
23367158,23,7,2,4,4,0
23504479,191,6,0,1,6,0
23533869,144,1,0,1,4,0
23587055,91,0,0,2,3,1
23612530,66,0,0,0,0,0
23676358,40,1,0,1,1,0
23676376,54,2,0,2,3,0
23676406,6,0,0,0,0,0
23676418,27,0,1,1,0,0
23701820,157,5,4,7,12,0
23772480,22,0,1,0,0,0
23857850,65,2,1,5,7,1
23960898,40,0,0,3,2,0
24257136,20,3,0,1,1,0
24337665,78,2,2,1,2,1
24710322,181,2,6,5,5,0
24749751,135,4,3,5,7,2
25537239,37,14,0,8,9,0
25647677,49,0,0,0,0,0
25647684,9,0,0,0,0,0
25647685,81,1,0,1,3,0
25647718,45,4,0,1,2,0
25647727,18,2,0,3,4,0
25647729,17,2,0,2,2,0
25647749,12,4,0,1,1,0
25718414,13,1,0,1,1,0
25718415,167,5,0,4,5,0
25718442,4,0,0,0,0,0
25718447,5,0,0,0,2,0
25718451,11,0,0,1,1,0
25718459,55,2,0,0,0,0
25890659,122,6,1,5,7,1
25898891,97,0,0,0,1,0
25910969,56,1,2,0,1,0
25923230,232,8,2,8,9,0
25938173,129,1,2,1,4,1
26025759,192,3,2,4,3,1
26366432,86,0,2,0,1,0
26479699,43,3,0,0,1,0
26514917,55,2,0,3,1,0
26529087,8,0,0,0,0,0
26529098,22,0,0,0,1,0
26529106,13,0,0,0,0,0
26529131,69,2,0,1,2,0
26529135,90,3,2,3,3,0
26538074,98,6,0,7,2,1
26795922,39,0,1,0,1,0
26929296,10,0,0,0,0,0
27019999,127,0,1,2,3,0
27036454,95,0,0,2,2,0
27098959,4,1,0,0,0,0
27116409,42,0,2,0,1,0
27203521,93,0,1,2,3,0
27258706,36,1,0,0,0,0
27259821,61,4,1,5,3,0
27325082,66,5,1,3,2,0
27353658,41,1,0,0,0,1
27437992,31,1,0,1,0,0
27438711,18,0,1,0,0,0
27438713,30,2,0,2,1,0
27438716,21,2,0,0,0,0
27454238,104,7,0,7,4,0
27455185,242,4,4,3,6,0
27456036,179,12,2,10,10,0
27630021,53,1,0,0,0,0
27659234,86,4,1,4,3,0
27861931,107,0,0,0,0,0
27905637,125,2,0,1,0,1
27962805,197,5,2,5,6,1
28133657,210,3,3,3,5,0
28139820,75,6,1,5,5,0
28213342,39,5,0,3,4,0
28438082,179,9,1,6,7,0
28683811,189,3,5,5,9,0
28710795,67,1,2,4,4,0
28846114,16,1,0,1,0,0
28846141,13,2,0,2,2,0
28865860,147,8,4,6,3,1
28905221,176,5,3,0,4,0
28980840,75,0,0,0,0,0
29383287,159,4,3,3,6,0
29599654,113,2,1,2,3,0
29696212,210,15,0,5,10,0
29698544,187,4,2,5,8,0
29724479,19,0,0,0,0,0
29975188,4,2,0,1,1,0
29975197,77,2,1,1,1,0
30074311,17,2,0,0,1,0
30178291,151,0,1,1,1,0
30532531,86,2,2,1,2,0
30612842,12,4,1,2,2,0
30624277,9,1,0,0,1,0
30624333,208,4,2,7,8,0
30632295,51,4,0,3,3,0
30858861,49,1,0,1,1,0
30926064,23,1,0,0,0,0
30940542,203,12,2,7,6,1
30955317,91,0,3,0,3,0
30996145,50,1,1,1,2,0
31060531,49,7,1,4,3,0
